targets, factors
U0126, U0126
RTK_Inhibitor, RTK_Inhibitor
HA_SialicAcid_Affinity, HA_SialicAcid_Affinity
Neuraminidase_inhibitor, Neuraminidase_inhibitor
Viral_Dose, Viral_Dose
PB1_PA_Interface_Inhibitor, PB1_PA_Interface_Inhibitor
Methyl_Beta_Cyclodextrin, Methyl_Beta_Cyclodextrin
PB1_Inhibitor, PB1_Inhibitor
Wortmannin, Wortmannin
Bisindolylmaleimide_I, Bisindolylmaleimide_I
M2_inhibitor, M2_inhibitor
IVA_HA1_HA2, Viral_Dose
temp_vRNP_PA_nuc, ((vRNA_PA & ((PB1_PA_nuc & PB2_nuc) & NP_nuc)) | par_vRNP_PA_cyto)
ERK, MEK
vRNA_PB1_M1, (vRNA_PB1 & M1_nuc)
IVA_SialicAcid_CCP, IVA_SialicAcid
pro_vRNP_HA_M1_cyto, (pro_vRNP_HA_M1_nuc & (NS2_CellularFactor & NS2_cyto))
temp_vRNP_NA_nuc, ((vRNA_NA & ((PB1_PA_nuc & PB2_nuc) & NP_nuc)) | par_vRNP_NA_cyto)
PB2_cyto, mRNA_PB2_cyto
mRNA_M2_nuc, temp_vRNP_M_nuc
mRNA_NS2_cyto, mRNA_NS2_nuc
par_vRNP_PB2_cyto, IVA_LE
vRNA_M, cRNA_M
PB1_PA_nuc, PB1_PA_cyto
cRNA_HA, ((temp_vRNP_HA_nuc & (((PB1_PA_nuc & PB2_nuc) & NP_nuc) | (PB1_PA_nuc & PB2_nuc))) | (cRNP_HA & ((PB1_PA_nuc & PB2_nuc) | ((PB1_PA_nuc & PB2_nuc) & NP_nuc))))
pro_vRNP_HA_M1_nuc, ((vRNA_HA_M1 & ((PB1_PA_nuc & PB2_nuc) & NP_nuc)) & !pro_vRNP_HA_M1_cyto)
vRNA_NS_M1, (vRNA_NS & M1_nuc)
mRNA_HA_nuc, temp_vRNP_HA_nuc
PB2_nuc, PB2_cyto
M2_cyto, mRNA_M2_cyto
mRNA_PA_nuc, temp_vRNP_PA_nuc
vRNA_NA, cRNA_NA
cRNP_PA, (cRNA_PA & ((PB1_PA_nuc & PB2_nuc) & NP_nuc))
pro_vRNP_PA_M1_cyto, (pro_vRNP_PA_M1_nuc & (NS2_CellularFactor & NS2_cyto))
mRNA_HA_cyto, mRNA_HA_nuc
cRNA_PB1, ((temp_vRNP_PB1_nuc & ((PB1_PA_nuc & PB2_nuc) | ((PB1_PA_nuc & PB2_nuc) & NP_nuc))) | (cRNP_PB1 & (((PB1_PA_nuc & PB2_nuc) & NP_nuc) | (PB1_PA_nuc & PB2_nuc))))
cRNA_PB2, ((cRNP_PB2 & (((PB1_PA_nuc & PB2_nuc) & NP_nuc) | (PB1_PA_nuc & PB2_nuc))) | (temp_vRNP_PB2_nuc & ((PB1_PA_nuc & PB2_nuc) | ((PB1_PA_nuc & PB2_nuc) & NP_nuc))))
M1_cyto, mRNA_M1_cyto
mRNA_PA_cyto, mRNA_PA_nuc
vRNA_HA, cRNA_HA
cRNA_NA, ((cRNP_NA & (((PB1_PA_nuc & PB2_nuc) & NP_nuc) | (PB1_PA_nuc & PB2_nuc))) | (temp_vRNP_NA_nuc & (((PB1_PA_nuc & PB2_nuc) & NP_nuc) | (PB1_PA_nuc & PB2_nuc))))
PI3K, ((NS1_cyto & !Wortmannin) | (RTK & !Wortmannin))
pro_vRNP_NA_M1_nuc, ((vRNA_NA_M1 & ((PB1_PA_nuc & PB2_nuc) & NP_nuc)) & !pro_vRNP_NA_M1_cyto)
vRNA_PA_M1, (vRNA_PA & M1_nuc)
mRNA_PB1_nuc, temp_vRNP_PB1_nuc
M1_M1, (M1_cyto & !(((((((vRNA_HA_M1 | vRNA_PA_M1) | vRNA_NA_M1) | vRNA_M_M1) | vRNA_PB2_M1) | vRNA_NP_M1) | vRNA_NS_M1) | vRNA_PB1_M1))
pro_vRNP_NS_M1_nuc, ((vRNA_NS_M1 & ((PB1_PA_nuc & PB2_nuc) & NP_nuc)) & !pro_vRNP_NS_M1_cyto)
temp_vRNP_NS_nuc, (par_vRNP_NS_cyto | (vRNA_NS & ((PB1_PA_nuc & PB2_nuc) & NP_nuc)))
pro_vRNP_PA_M1_nuc, ((vRNA_PA_M1 & ((PB1_PA_nuc & PB2_nuc) & NP_nuc)) & !pro_vRNP_PA_M1_cyto)
